price;discription;location;Bedrooms;Bathrooms;Parking_spaces;floor_size
900000;2 Bedroom Apartment;Illovo;2;1;1;86 m²
850000;2 Bedroom Apartment;Dowerglen;2;2;3;107 m²
1799000;3 Bedroom Apartment;Erand Gardens;3;2;2;103 m²
1650000;2 Bedroom Apartment;Illovo;2;2;2;132 m²
1000000;2 Bedroom Apartment;Saxonwold;2;1;2;69 m²
895000;2 Bedroom Apartment;Montana Park;2;2;2;76 m²
1265000;3 Bedroom Apartment;Greenstone Hill;3;2;2;101 m²
1009900;3 Bedroom Apartment;Blyde Riverwalk Estate;3;2;2;82 m²
734999;2 Bedroom Apartment;Glenferness;2;1;2;57 m²
585000;2 Bedroom Apartment;Clarina;2;1;1;49 m²
580000;2.5 Bedroom Apartment;Muckleneuk;2.5;1.5;1;95 m²
1329900;3 Bedroom Apartment;Blyde Riverwalk Estate;3;2;2;82 m²
865000;2 Bedroom Apartment;Randpark Ridge;2;1.5;2;82 m²
;;;;;;
865000;2 Bedroom Apartment;Randpark Ridge;2;1.5;2;82 m²
1435000;1 Bedroom Apartment;Menlo Park;1;1;1;57 m²
760000;4 Bedroom Apartment;Sunnyside;4;2;1;121 m²
200000;2 Bedroom Apartment;Driehoek;2;1;1;77 m²
560000;3 Bedroom Apartment;Sunnyside;3;2;1;98 m²
620000;3 Bedroom Apartment;Westdene;3;1;1;42 m²
200000;2 Bedroom Apartment;Driehoek;2;1;1;77 m²
2950000;3 Bedroom Apartment;Waterfall;3;2;2;115 m²
1600000;2 Bedroom Apartment;Illovo;2;2;3;194 m²
1300000;1 Bedroom Apartment;Sandhurst;1;1;2;46 m²
680000;2 Bedroom Apartment;Dayanglen;2;1;1;76 m²
419000;2 Bedroom Apartment;Danie Taljaard Park;2;1;2;64 m²
750000;2 Bedroom Apartment;Helderkruin;2;1;1;100 m²
595000;1 Bedroom Apartment;Braamfontein;1;1;1;55 m²
670000;2 Bedroom Apartment;Ferndale;2;1;1;54 m²
1135000;2 Bedroom Apartment;Glen Austin AH;2;2;1;75 m²
1600000;2 Bedroom Apartment;Killarney;2;1;1;113 m²
990000;2 Bedroom Apartment;Comet;2;2;2;107 m²
320000;0.5 Bedroom Apartment;Geduld;0.5;1;1;
749000;2 Bedroom Apartment;Eco Park Estate;2;1;2;77 m²
859900;1 Bedroom Apartment;Louwlardia;1;1;1;
;;;;;;
1050000;2 Bedroom Apartment;Bronberg;2;1;1;66 m²
640000;2 Bedroom Apartment;Karenpark;2;1;2;
395000;2.5 Bedroom Apartment;Sunnyside;2.5;1.5;1;80 m²
1050000;1 Bedroom Apartment;Hyde Park;1;1;1;86 m²
2250000;2 Bedroom Apartment;Menlo Park;2;2;2;87 m²
738900;1 Bedroom Apartment;Fourways;1;1;1;53 m²
850000;2 Bedroom Apartment;Northwold;2;1;1;75 m²
1790000;2 Bedroom Apartment;Greenstone Hill;2;3;3;132 m²
799000;2 Bedroom Apartment;Groblerpark;2;2;2;86 m²
720999;2 Bedroom Apartment;Noordwyk;2;1;3;80 m²
740000;2 Bedroom Apartment;Ferndale;2;1;1;56 m²
799000;2 Bedroom Apartment;Groblerpark;2;2;2;86 m²
1350000;2 Bedroom Apartment;Louwlardia;2;2;2;93 m²
1950000;3 Bedroom Apartment;Wingate Park;3;3;1;189 m²
1199000;2 Bedroom Apartment;Die Hoewes;2;2;3;
940000;3 Bedroom Apartment;Brentwood Park;3;2;2;103 m²
480000;3 Bedroom Apartment;Benoni Central;3;2;1;78 m²
740000;2 Bedroom Apartment;Mooikloof Ridge;2;1;2;73 m²
820000;2 Bedroom Apartment;Jackal Creek Golf Estate;2;2;1;71 m²
650000;2 Bedroom Apartment;Amorosa;2;1;;69 m²
745000;1 Bedroom Apartment;Montana;1;1;1;65 m²
;;;;;;
350000;1 Bedroom Apartment;Maboneng;1;1;;36 m²
4750000;2 Bedroom Apartment;Morningside;2;3;2;141 m²
1299999;2 Bedroom Apartment;Halfway Gardens;2;2;1;82 m²
710000;2 Bedroom Apartment;Ferndale;2;1;2;85 m²
975000;2 Bedroom Apartment;Rangeview;2;1;2;120 m²
1500000;3 Bedroom Apartment;Robertsham;3;2;2;105 m²
799000;2 Bedroom Apartment;Randpark Ridge;2;2;1;73 m²
3100000;2 Bedroom Apartment;Hyde Park;2;2;2;197 m²
790000;2 Bedroom Apartment;Ferndale;2;2;1;74 m²
550000;2 Bedroom Apartment;Edleen;2;1;1;89 m²
1390000;3 Bedroom Apartment;Paulshof;3;2;2;82 m²
3614000;3 Bedroom Apartment;Houghton Estate;3;2;2;118 m²
1085000;2 Bedroom Apartment;Greenstone Ridge;2;2;2;89 m²
900000;1 Bedroom Apartment;Linbro Park;1;1;1;50 m²
1299999;2 Bedroom Apartment;Halfway Gardens;2;2;1;82 m²
370000;4 Bedroom Apartment;Sunnyside;4;1;1;70 m²
320000;1 Bedroom Apartment;Maboneng;1;1;;33 m²
330000;1 Bedroom Apartment;Florida;1;1;1;46 m²
1055000;3 Bedroom Apartment;Carlswald;3;2;2;87 m²
617000;1 Bedroom Apartment;Doringkloof;1;1;1;73 m²
1480000;3 Bedroom Apartment;Three Rivers Proper;3;2.5;2;174 m²
;;;;;;
1599000;3 Bedroom Apartment;Modderfontein;3;2;2;107 m²
1150000;2 Bedroom Apartment;Bedfordview;2;2;3;99 m²
399000;1 Bedroom Apartment;Springs Central;1;1;;94 m²
1150000;2 Bedroom Apartment;Bedfordview;2;2;3;99 m²
995000;2 Bedroom Apartment;Morningside;2;1;1;68 m²
2850000;4 Bedroom Apartment;Illovo;4;3;2;318 m²
340000;1 Bedroom Apartment;Paul Krugersoord;1;1;1;
560000;2 Bedroom Apartment;Nimrod Park;2;1;1;77 m²
900000;2 Bedroom Apartment;Boardwalk Villas;2;2;1;103 m²
600000;2 Bedroom Apartment;Vaal Marina;2;1;2;82 m²
520000;2 Bedroom Apartment;Krugersdorp North;2;1;2;79 m²
550000;2 Bedroom Apartment;Lakefield;2;1;2;56 m²
430000;2 Bedroom Apartment;Pretoria North;2;1;2;64 m²
790000;2 Bedroom Apartment;Ferndale;2;2;2;93 m²
1700000;2 Bedroom Apartment;Rivonia;2;2;2;157 m²
1150000;3 Bedroom Apartment;Homes Haven;3;2;2;91 m²
600000;2 Bedroom Apartment;Wilgeheuwel;2;1;1;70 m²
925000;2 Bedroom Apartment;Melrose North;2;1;1;67 m²
260000;1 Bedroom Apartment;Kempton Park Ext 1;1;1;2;34 m²
899000;2 Bedroom Apartment;Greenstone Hill;2;2;1;79 m²
699000;2 Bedroom Apartment;Pomona;2;1;1;71 m²
;;;;;;
1597500;2 Bedroom Apartment;Waterkloof Ridge;2;2;3;123 m²
1420000;3 Bedroom Apartment;Fourways;3;2;4;94 m²
3500000;2 Bedroom Apartment;Bedford Park;2;2;2;201 m²
;2 Bedroom Apartment;Florida;2;1;2;70 m²
999900;2 Bedroom Apartment;Irene;2;1;2;64 m²
1450000;2 Bedroom Apartment;Sandown Estate;2;2;2;90 m²
640000;Apartment;Fourways Gardens;1;1;;46 m²
450000;2 Bedroom Apartment;Clarina;2;1;;64 m²
330000;2 Bedroom Apartment;Berea;2;1;1;105 m²
;2 Bedroom Apartment;Florida;2;1;2;70 m²
1750000;4 Bedroom Apartment;Killarney;4;2.5;2;208 m²
799000;2 Bedroom Apartment;Comet;2;1;;71 m²
1100000;2 Bedroom Apartment;Erand Gardens;2;2;1;78 m²
1640000;2 Bedroom Apartment;Olympus AH;2;2;2;126 m²
1280000;2 Bedroom Apartment;Sunninghill;2;2;2;98 m²
520000;2 Bedroom Apartment;Krugersdorp North;2;1;1;72 m²
440000;2 Bedroom Apartment;Pretoria North;2;1;1;65 m²
820000;2 Bedroom Apartment;Jackal Creek Golf Estate;2;2;1;71 m²
495000;1 Bedroom Apartment;Glen Marais;1;1;;49 m²
865000;2 Bedroom Apartment;Arcadia;2;1;1;56 m²
1300000;2 Bedroom Apartment;Rivonia;2;2;2;92 m²
;;;;;;
1300000;2 Bedroom Apartment;Rivonia;2;2;2;92 m²
600000;2 Bedroom Apartment;Windsor East;2;1;3;90 m²
1014999;2 Bedroom Apartment;Montana;2;2;2;112 m²
835000;2 Bedroom Apartment;East Lynne;2;1;1;56 m²
1650000;3 Bedroom Apartment;Rynfield;3;2.5;2;137 m²
835000;2 Bedroom Apartment;Pretoria Central;2;1;1;56 m²
1650000;3 Bedroom Apartment;Greenstone Hill;3;2;2;99 m²
670000;2 Bedroom Apartment;Kosmosdal;2;1;1;60 m²
